Source:,/home/chris/nfc-st25r3916/KiCad/cardboard/cardboard.kicad_sch,,,,,,,,,,,,,,,,,,
Date:,Thu 14 Mar 2024 16:56:19 GMT,,,,,,,,,,,,,,,,,,
Tool:,Eeschema 7.0.10-7.0.10~ubuntu22.04.1,,,,,,,,,,,,,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,,,,,
Component Count:,63,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,DNP,Arrow Part Number,Arrow Price/Stock,Dielectric,Farnell Part Number,Farnell Stock/Price,Mouser Part Number,Mouser Price/Stock,,Manufacturer_Part_Number,,,Tolerance,Voltage
1,1,AE300,Ant_NFC,Lol_20230821:Ant_NFC,Lol_20230821:Jarvis_NFC_Ant,DNP,,,,,,,,,,,,,
2,6,"C100, C207, C210, C212, C216, C218",2u2,Lol_20230821:C,Lol_20230821:Lol_0603,,,,X5R,3490047,https://uk.farnell.com/tdk/cga3e3x5r1a225k080ab/cap-aec-q200-2-2uf-10v-mlcc-0603/dp/3490047,,,,,,,20%,6V3
3,1,C200,1u,Lol_20230821:C,Lol_20230821:Lol_0603,,,,X5R,1288202,https://uk.farnell.com/kemet/c0603c105k3pactu/cap-1-f-25v-10-x5r-0603/dp/1288202,,,,,,,10%,25V
4,8,"C201, C204, C206, C208, C209, C211, C215, C217",10n,Lol_20230821:C,Lol_20230821:Lol_0603,,,,X7R,3369402,https://uk.farnell.com/yageo/cs0603krx7r9bb103/cap-0-01uf-50v-mlcc-0603/dp/3369402,,,,,,,10%,25V
5,1,C202,1n,Lol_20230821:C,Lol_20230821:Lol_0603,,,,X7R,2904796,https://uk.farnell.com/kemet/c0603s102k3ractu/cap-1000pf-25v-10-x7r-0603/dp/2904796,,,,,,,10%,25V
6,1,C203,22n,Lol_20230821:C,Lol_20230821:Lol_0603,,,,X5R,2904704,https://uk.farnell.com/kemet/c0603c223k4racauto/cap-0-022-f-16v-10-x7r-0603/dp/2904704,,,,,,,20%,6V3
7,1,C205,4u7,Lol_20230821:C,Lol_20230821:Lol_0603,,,,X5R,9227784,https://uk.farnell.com/kemet/c0603c475k9pactu/cap-4-7-f-6-3v-10-x5r-0603/dp/9227784,,,,,,,10%,6V3
8,4,"C213, C214, C301, C312",10p,Lol_20230821:C,Lol_20230821:Lol_0603,,,,C0G,2773103,https://uk.farnell.com/kemet/c0603c100f5gactu/cap-10pf-50v-1-c0g-np0-0603/dp/2773103,,,,,,,1%,50V
9,2,"C300, C313",220p,Lol_20230821:C,Lol_20230821:Lol_0603,,,,C0G,2896379,https://uk.farnell.com/vishay/vj0603a221fxacw1bc/cap-220pf-50v-1-c0g-np0-0603/dp/2896379,,,,,,,1%,50V
10,3,"C302, C311, C314",LXRW0YV600-054,Lol_20230821:LXRW0YV600-054_Drawn,cardboard:LXRW0_MUR_0-2_0-2,,,,,3052318,https://uk.farnell.com/murata/lxrw0yv600-054/variable-capacitor-30-60pf-smd/dp/3052318,,,,LXRW0YV600-054,,,,
11,2,"C303, C310",33p,Lol_20230821:C,Lol_20230821:Lol_0603,,,,C0G,3764421,https://uk.farnell.com/yageo/cc0603frnpo9bn330/cap-33pf-50v-mlcc-0603/dp/3764421,,,,,,,1%,50V
12,2,"C304, C307",LXRW0YV600-054,Lol_20230821:LXRW0YV600-054_Drawn,Lol_20230821:LXRW0YV600054 Handsolder,DNP,,,,,,,,,LXRW0YV600-054,,,,
13,2,"C305, C308",680p,Lol_20230821:C,Lol_20230821:Lol_0603,,,,C0G,3764430,https://uk.farnell.com/yageo/cc0603frnpo9bn681/cap-680pf-50v-mlcc-0603/dp/3764430,,,,,,,1%,50V
14,3,"C306, C309, C317",47p,Lol_20230821:C,Lol_20230821:Lol_0603,,,,C0G,2896391,https://uk.farnell.com/vishay/vj0603a470fxacw1bc/cap-47pf-50v-1-c0g-np0-0603/dp/2896391,,,,,,,1%,50V
15,2,"C315, C316",150p,Lol_20230821:C,Lol_20230821:Lol_0603,,,,C0G,3764413,https://uk.farnell.com/yageo/cc0603frnpo9bn151/cap-150pf-50v-mlcc-0603/dp/3764413,,,,,,,1%,50V
16,2,"H1, H2",MountingHole_Pad,Lol_20230821:MountingHole_Pad,MountingHole:MountingHole_3.2mm_M3_Pad,DNP,,,,,,,,,,,,,
17,2,"H3, H4",MountingHole NC,Lol_20230821:MountingHole_Pad_NC,Lol_20230821:MountingHole_3.2mm_M3_Pad NPTH,DNP,,,,,,,,,,,,,
18,9,"J300_1, J300_2, J400, J401, J402, J403, J406, J407, J408",Conn_01x01_Female,Lol_20230821:TestPoint_TH_Square,Lol_20230821:TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,DNP,,,,,,,,,,,,,
19,1,J412,Conn_01x08_Pin,Connector:Conn_01x08_Pin,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,DNP,,,,,,,,,,,,,
20,3,"L300, L301, L400",MLJ1608WR27JT000,Lol_20230821:Lol_L,Lol_20230821:Lol_0603,,,,,,17 week back order 14/3/24,MLJ1608WR27JT000,https://www.mouser.co.uk/ProductDetail/TDK/MLJ1608WR27JT000,,MLJ1608WR27JT000,,,,
21,1,LED100,~,Lol_20230821:Lol_LED,MP008285,DNP,,,,,,,,,MP008285,,,,
22,1,LED101,~,Lol_20230821:Lol_LED,MP008285,,,,,3796304,https://uk.farnell.com/multicomp-pro/mp008275/led-green-90mcd-577nm-0603/dp/3796304,,,,MP008275,,,,
23,1,R101,1k,Lol_20230821:Lol_R,Lol_20230821:Lol_0603,,,,,2332003,https://uk.farnell.com/te-connectivity/crgh0603f1k0/res-1k-1-0-2w-0603-thick-film/dp/2332003,,,,,,,,
24,2,"R300, R302",1R5,Lol_20230821:Lol_R,Lol_20230821:Lol_0603,,,,,1892906,https://uk.farnell.com/panasonic/erj3bqf1r5v/current-sense-res-1r5-1-200-mw/dp/1892906,,,,,,,,
