Designator,Mid X,Mid Y,Rotation,Layer
C100,92.215,-59.47,90.0,top
C200,111.115,-63.92,90.0,top
C201,109.715,-63.92,90.0,top
C202,104.775,-71.94,270.0,top
C203,103.375,-71.94,270.0,top
C204,108.5,-70.47,0.0,top
C205,108.5,-71.87,0.0,top
C206,100.575,-71.94,270.0,top
C207,101.975,-71.94,270.0,top
C208,99.115,-61.77,180.0,top
C209,100.525,-64.29,90.0,top
C210,99.125,-64.29,90.0,top
C211,100.525,-67.99,90.0,top
C212,99.125,-67.99,90.0,top
C213,96.115,-61.77,0.0,top
C214,96.925,-68.79,180.0,top
C215,96.375,-71.94,270.0,top
C216,94.975,-71.94,270.0,top
C217,99.175,-71.94,270.0,top
C218,97.775,-71.94,270.0,top
C300,111.715,-75.87,270.0,top
C301,113.115,-75.87,90.0,top
C302,106.615,-76.37,180.0,top
C303,105.1,-76.87,90.0,top
C305,105.9,-74.67,0.0,top
C306,105.3,-80.77,0.0,top
C308,109.3,-74.67,0.0,top
C309,109.9,-80.77,0.0,top
C310,110.1,-76.87,270.0,top
C311,108.55,-76.97,0.0,top
C312,114.515,-75.87,270.0,top
C313,115.915,-75.87,90.0,top
C314,107.6,-78.87,270.0,top
C315,105.3,-79.37,0.0,top
C316,109.9,-79.37,0.0,top
D300,113.515,-82.67,90.0,top
J411,107.615,-83.27,90.0,top
J412,105.0,-59.17,270.0,bottom
L300,106.3,-72.27,90.0,top
L301,108.5,-73.27,180.0,top
L400,93.615,-59.47,90.0,top
LED100,92.215,-63.17,270.0,top
LED101,117.815,-63.17,270.0,top
P200,109.0,-72.87,180.0,bottom
P202,111.5,-77.07,270.0,bottom
Q300,117.315,-79.77,180.0,top
R100,92.115,-66.07,0.0,top
R101,115.515,-63.17,90.0,top
R116,102.815,-61.67,180.0,top
R117,110.515,-61.67,0.0,top
R204,113.915,-62.47,90.0,top
R205,113.915,-65.47,90.0,top
R300,103.815,-82.97,90.0,top
R301,113.315,-80.17,180.0,top
R302,111.415,-82.97,90.0,top
R303,117.315,-75.87,90.0,top
R400,92.115,-67.47,180.0,top
U200,105.875,-66.54,0.0,top
Y200,96.025,-65.29,270.0,top
